Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,27/11/2019 01:57:05 PM,88361633,151,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7202036091840902,585176.3774834432,1110392.733988113,7071898.0,0.0,8.8361632E7,589077.5466666669,1113073.8937929824,7071898.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.7088864801763002,0.011317129007790068,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,151,0,1,0,-1,-1,0,0,3.37328305E7,3.8450559693935595E7,6.0921482E7,6544179.0,6354909.0,1013975.5678723231,7071898.0,5637920.0,No Label
224.0.0.252-10.2.123.244-5355-57479-17,10.2.123.244,57479,224.0.0.252,5355,17,27/11/2019 01:56:21 PM,99953,1,1,24.0,24.0,24.0,24.0,24.0,0.0,24.0,24.0,24.0,0.0,480.22570608185845,20.009404420077438,99953.0,0.0,99953.0,99953.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10.004702210038719,10.004702210038719,24.0,24.0,24.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,36.0,24.0,24.0,0,0,0,0,0,0,1,24,1,24,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
224.0.0.252-10.2.123.77-5355-59081-17,10.2.123.77,59081,224.0.0.252,5355,17,27/11/2019 01:54:31 PM,392864,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,111.99804512503054,5.0908202329559336,392864.0,0.0,392864.0,392864.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.5454101164779668,2.5454101164779668,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
224.0.0.252-10.2.122.122-5355-62845-17,10.2.122.122,62845,224.0.0.252,5355,17,27/11/2019 01:54:26 PM,407186,1,1,33.0,33.0,33.0,33.0,33.0,0.0,33.0,33.0,33.0,0.0,162.08808750792022,4.911760227512734,407186.0,0.0,407186.0,407186.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.455880113756367,2.455880113756367,33.0,33.0,33.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,49.5,33.0,33.0,0,0,0,0,0,0,1,33,1,33,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
224.0.0.252-10.2.123.244-5355-59150-17,10.2.123.244,59150,224.0.0.252,5355,17,27/11/2019 01:55:45 PM,11590,1,1,24.0,24.0,24.0,24.0,24.0,0.0,24.0,24.0,24.0,0.0,4141.501294219154,172.5625539257981,11590.0,0.0,11590.0,11590.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,86.28127696289906,86.28127696289906,24.0,24.0,24.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,36.0,24.0,24.0,0,0,0,0,0,0,1,24,1,24,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
224.0.0.252-10.2.122.122-5355-53051-17,10.2.122.122,53051,224.0.0.252,5355,17,27/11/2019 01:56:50 PM,419901,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,104.78660446152783,4.763027475523992,419901.0,0.0,419901.0,419901.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.381513737761996,2.381513737761996,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
224.0.0.252-10.2.122.213-5355-64529-17,10.2.122.213,64529,224.0.0.252,5355,17,27/11/2019 01:55:28 PM,426099,1,1,28.0,28.0,28.0,28.0,28.0,0.0,28.0,28.0,28.0,0.0,131.42485666476568,4.6937448808844895,426099.0,0.0,426099.0,426099.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.3468724404422447,2.3468724404422447,28.0,28.0,28.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,42.0,28.0,28.0,0,0,0,0,0,0,1,28,1,28,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
224.0.0.252-10.2.122.122-5355-50859-17,10.2.122.122,50859,224.0.0.252,5355,17,27/11/2019 01:54:26 PM,407186,1,1,32.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,157.1763272804075,4.911760227512734,407186.0,0.0,407186.0,407186.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.455880113756367,2.455880113756367,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,48.0,32.0,32.0,0,0,0,0,0,0,1,32,1,32,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
224.0.0.252-10.2.123.77-5355-62956-17,10.2.123.77,62956,224.0.0.252,5355,17,27/11/2019 01:53:05 PM,425468,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,103.41553301305856,4.700706046048117,425468.0,0.0,425468.0,425468.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.3503530230240584,2.3503530230240584,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
224.0.0.252-10.2.120.30-5355-58589-17,10.2.120.30,58589,224.0.0.252,5355,17,27/11/2019 01:54:10 PM,418420,1,1,27.0,27.0,27.0,27.0,27.0,0.0,27.0,27.0,27.0,0.0,129.056928445103,4.779886238707519,418420.0,0.0,418420.0,418420.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.3899431193537595,2.3899431193537595,27.0,27.0,27.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,40.5,27.0,27.0,0,0,0,0,0,0,1,27,1,27,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
