Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.12-192.168.0.15-54481-443-6,192.168.0.12,54481,192.168.0.15,443,6,6/12/2019 9:22,13461139,4,4,0,0,0,0,0,0,0,0,0,0,0,0.59430335,1923019.857,3051933.784,8006725,1539,1.28E+07,4266948.667,3655483.566,8006725,702034,1.35E+07,4487046.333,7208722.729,1.28E+07,1539,0,0,0,0,128,92,0.297151675,0.297151675,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,4,0,-1,0,0,0,5450761,0,5450761,5450761,8006725,0,8006725,8006725,ModifiedHuLK
192.168.0.12-192.168.0.15-63275-443-6,192.168.0.12,63275,192.168.0.15,443,6,6/12/2019 9:25,3962910,4,5,0,0,0,0,0,0,0,0,0,0,0,2.271058389,495363.75,747320.3624,2201191,1829,3298711,1099570.333,954777.4215,2201191,511026,3962910,990727.5,1273447.22,2861010,3351,0,0,0,0,128,112,1.009359284,1.261699105,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,5,0,-1,0,0,0,0,0,0,0,0,0,0,0,ModifiedHuLK
192.168.0.12-192.168.0.15-59589-443-6,192.168.0.12,59589,192.168.0.15,443,6,6/12/2019 9:24,3543633,4,5,0,0,0,0,0,0,0,0,0,0,0,2.539766392,442954.125,681837.7635,2014494,2569,3025549,1008516.333,871203.5106,2014494,504025,3543633,885908.25,1120955.216,2529240,2569,0,0,0,0,128,112,1.128785063,1.410981329,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,5,0,-1,0,0,0,0,0,0,0,0,0,0,0,ModifiedHuLK
192.168.0.11-224.0.0.251-5353-5353-17,192.168.0.11,5353,224.0.0.251,5353,17,6/12/2019 9:26,22017219,7,1,427,61,61,61,61,0,61,61,61,0,22.16447045,0.363351975,3145317,7434207.036,2.00E+07,1,2.20E+07,3669472.833,8000819.375,2.00E+07,1,0,0,0,0,0,0,0,0,0,56,8,0.317932978,0.045418997,61,61,61,0,0,0,0,0,0,0,0,0,0,0,68.625,61,61,0,0,0,0,0,0,7,427,1,61,-1,-1,7,0,2048247,0,2048247,2048247,2.00E+07,0,2.00E+07,2.00E+07,Benign
192.168.0.12-192.168.0.15-59380-443-6,192.168.0.12,59380,192.168.0.15,443,6,6/12/2019 9:24,2599193,4,5,0,0,0,0,0,0,0,0,0,0,0,3.462613203,324899.125,370381.055,1012588,3779,1578722,526240.6667,21702.84434,550664,509167,2599193,649798.25,270667.5665,1055718,510032,0,0,0,0,128,112,1.538939202,1.923674002,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,5,0,-1,0,0,0,0,0,0,0,0,0,0,0,ModifiedHuLK
192.168.0.12-192.168.0.15-52785-443-6,192.168.0.12,52785,192.168.0.15,443,6,6/12/2019 9:21,2869915,4,5,0,0,0,0,0,0,0,0,0,0,0,3.135981379,358739.375,430246.251,1172419,2022,1692610,564203.3333,51251.0235,594986,505040,2869915,717478.75,308892.1224,1176533,505211,0,0,0,0,128,112,1.393769502,1.742211877,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,5,0,-1,0,0,0,0,0,0,0,0,0,0,0,ModifiedHuLK
192.168.0.12-192.168.0.15-50992-443-6,192.168.0.12,50992,192.168.0.15,443,6,6/12/2019 9:21,13373833,4,4,0,0,0,0,0,0,0,0,0,0,0,0.598183034,1910547.571,3077196.916,8008217,1428,1.27E+07,4235240,3749722.453,8008217,509213,1.34E+07,4457944.333,7152228.845,1.27E+07,1428,0,0,0,0,128,92,0.299091517,0.299091517,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,4,0,-1,0,0,0,5360071,0,5360071,5360071,8008217,0,8008217,8008217,ModifiedHuLK
192.168.0.12-192.168.0.15-61482-443-6,192.168.0.12,61482,192.168.0.15,443,6,6/12/2019 9:24,10257349,4,4,0,0,0,0,0,0,0,0,0,0,0,0.779928615,1465335.571,2912566.846,8003362,4565,9133077,3044359,4294661.857,8003362,546489,1.03E+07,3419116.333,4479661.439,8581244,552229,0,0,0,0,128,92,0.389964308,0.389964308,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,4,0,-1,0,0,0,2249026,0,2249026,2249026,8003362,0,8003362,8003362,ModifiedHuLK
192.168.0.12-192.168.0.15-64151-443-6,192.168.0.12,64151,192.168.0.15,443,6,6/12/2019 9:25,2044192,4,6,0,0,0,0,0,0,0,0,0,0,0,4.891908392,227132.4444,266105.7658,514696,1830,1523549,507849.6667,1983.908348,509296,505588,2044192,408838.4,227273.6225,516526,2335,0,0,0,0,128,132,1.956763357,2.935145035,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,6,0,-1,0,0,0,0,0,0,0,0,0,0,0,ModifiedHuLK
192.168.0.12-192.168.0.15-53664-443-6,192.168.0.12,53664,192.168.0.15,443,6,6/12/2019 9:22,13078345,4,3,0,0,0,0,0,0,0,0,0,0,0,0.535235919,2179724.167,3255393.094,8057622,3645,1.26E+07,4189871.667,3780117.249,8057622,503950,512393,256196.5,357161.7565,508748,3645,0,0,0,0,128,72,0.305849096,0.229386822,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,-1,0,0,0,5020723,0,5020723,5020723,8057622,0,8057622,8057622,ModifiedHuLK
192.168.0.12-192.168.0.15-62406-443-6,192.168.0.12,62406,192.168.0.15,443,6,6/12/2019 9:25,2371309,4,5,0,0,0,0,0,0,0,0,0,0,0,3.795372092,296413.625,316526.714,657927,1806,1709857,569952.3333,52876.26778,600899,508898,1864217,466054.25,309741.2884,661659,3525,0,0,0,0,128,112,1.686832041,2.108540051,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,5,0,-1,0,0,0,0,0,0,0,0,0,0,0,ModifiedHuLK
192.168.0.12-192.168.0.15-54856-443-6,192.168.0.12,54856,192.168.0.15,443,6,6/12/2019 9:22,2969202,4,5,0,0,0,0,0,0,0,0,0,0,0,3.031117452,371150.25,434046.2883,1147608,1572,1811442,603814,93873.57243,698903,511205,2969202,742300.5,282992.2561,1149728,512196,0,0,0,0,128,112,1.347163312,1.68395414,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,5,0,-1,0,0,0,0,0,0,0,0,0,0,0,ModifiedHuLK
192.168.0.12-192.168.0.15-62581-443-6,192.168.0.12,62581,192.168.0.15,443,6,6/12/2019 9:25,2198062,4,6,0,0,0,0,0,0,0,0,0,0,0,4.549462208,244229.1111,288656.6876,591379,1485,1606491,535497,49884.8108,593005,503894,2198062,439612.4,248290.3781,593094,1616,0,0,0,0,128,132,1.819784883,2.729677325,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,6,0,-1,0,0,0,0,0,0,0,0,0,0,0,ModifiedHuLK
192.168.0.12-54.190.1.51-49856-443-6,192.168.0.12,49856,54.190.1.51,443,6,6/12/2019 9:28,20291140,15,13,9939,3724,1460,0,662.6,705.4638596,1460,0,286.4615385,540.4633221,673.3480721,1.379912612,751523.7037,2660101.017,1.00E+07,0,2.02E+07,1445521.929,3623413.807,1.00E+07,0,2.03E+07,1690928.333,3897029.534,1.00E+07,0,0,0,0,0,300,276,0.739238899,0.640673713,0,1460,471.137931,646.0850079,417425.8374,0,1,0,0,0,0,0,0,0,487.9642857,662.6,286.4615385,0,0,0,0,0,0,15,9939,13,3724,-1,48180,11,0,151668,165317.3228,268565,34771,9980403.5,29478.5746,1.00E+07,9959559,Benign
192.168.0.12-192.168.0.15-61541-443-6,192.168.0.12,61541,192.168.0.15,443,6,6/12/2019 9:24,2639015,4,5,0,0,0,0,0,0,0,0,0,0,0,3.410363336,329876.875,351922.3413,700882,2577,2097015,699005,7050.21411,706503,692510,1951011,487752.75,331381.4333,705388,4210,0,0,0,0,128,112,1.515717038,1.894646298,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,5,0,-1,0,0,0,0,0,0,0,0,0,0,0,ModifiedHuLK
